Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
19	Apr 1, 2011	Apr 1, 2011	2011	2011	Insidious	FilmDistrict	Horror	Original Screenplay	Live Action	Fantasy	$1,500,000	2,408	2,419	14,066	$13,271,464	$54,009,150	$57,414,513	$45,861,736	$99,870,886
20	Mar 5, 2011	Mar 5, 2011	2011	2011	Red State	Smodshow Productions	Horror	Original Screenplay	Live Action	Contemporary Fiction	$4,000,000	2	2	5	$102,566	$1,065,429	$1,132,604	$918,167	$1,983,596
21	Feb 11, 2011	Feb 11, 2011	2011	2011	Raymond Did It	Plastic Age Productions	Horror	Original Screenplay	Live Action	Contemporary Fiction	$40,000	1	1	2	$3,192	$3,632	$3,861	$0	$3,632
22	Jan 28, 2011	Jan 28, 2011	2011	2011	The Rite	Warner Bros.	Horror	Based on Factual Book/Article	Live Action	Dramatization	$37,000,000	2,985	2,985	10,485	$14,789,393	$33,047,633	$35,131,342	$64,096,354	$97,143,987
23	Dec 31, 2010	Dec 31, 2010	2010	2010	Trance		Horror	Original Screenplay	Live Action	Fantasy	$950,000	0	0	0	$0	$0	$0	$0	$0
24	Dec 31, 2010	Dec 31, 2010	2010	2010	Butterfly		Horror				$250,000	0	0	0	$0	$0	$0	$0	$0
25	Dec 31, 2010	Dec 31, 2010	2010	2010	Psych 9		Horror	Original Screenplay	Live Action	Contemporary Fiction	$5,000,000	0	0	0	$0	$0	$0	$0	$0
26	Dec 31, 2010	Dec 31, 2010	2010	2010	Dead Undead The		Horror	Original Screenplay	Live Action	Fantasy	$1,100,000	0	0	0	$0	$0	$0	$0	$0
27	Oct 29, 2010	Oct 29, 2010	2010	2010	Saw 3D	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$17,000,000	2,808	2,808	8,543	$24,230,123	$45,710,178	$48,838,623	$88,025,106	$133,735,284
28	Oct 20, 2010	Oct 20, 2010	2010	2010	Paranormal Activity 2	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	$3,000,000	3,216	3,239	14,325	$40,678,424	$84,752,907	$90,552,986	$92,759,125	$177,512,032
29	Oct 8, 2010	Oct 8, 2010	2010	2010	My Soul to Take	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	$25,000,000	2,572	2,572	7,503	$6,842,220	$14,744,435	$15,753,563	$1,983,035	$16,727,470
